entity_name,indicator_name,indicator_code,frequency,数据来源,2026-04-02,2026-04-01
利率（日）,美国:国债收益率:1年(%),E1003233,daily,美联储,3.68,3.68
利率（日）,美国:国债收益率:7年(%),E1003237,daily,美联储,4.12,4.15
利率（日）,美国:国债收益率:2个月(%),EMG01388962,daily,美联储,3.73,3.71
利率（日）,美国:国债收益率:2年(%),E1003234,daily,美联储,3.79,3.81
利率（日）,美国:国债收益率:6月(%),E1003232,daily,美联储,3.72,3.72
利率（日）,美国:国债收益率:10年(%),E1003238,daily,美联储,4.31,4.33
利率（日）,美国:国债收益率:10-2年(%),EMG01339436,daily,美联储,0.52,0.52
利率（日）,美国:长期国债收益率曲线:大于10年期(%),EMG01523762,daily,美联储,4.84,4.88
利率（日）,美国:国债收益率:二级市场:1年(%),EMG00001316,daily,美国财政部,3.53,3.53
利率（日）,美国:国债收益率:以通胀为标的:20年(%),EMG00001320,daily,美国财政部,2.43,2.48
利率（日）,美国:国债收益率:20年(%),E1003239,daily,美联储,4.88,4.91
利率（日）,美国:国债收益率:以通胀为标的:10年(%),EMG00001319,daily,美国财政部,1.97,2.02
利率（日）,美国:国债收益率:以通胀为标的:30年(%),EMG00001321,daily,美国财政部,2.66,2.71
利率（日）,美国:国债收益率:以通胀为标的:7年(%),EMG00001318,daily,美国财政部,1.68,1.74
利率（日）,美国:国债收益率:30年(%),E1003240,daily,美联储,4.88,4.91
利率（日）,美国:国债收益率:二级市场:4周(%),EMG00001313,daily,美国财政部,3.63,3.63
利率（日）,美国:国债收益率:以通胀为标的:5年(%),EMG00001317,daily,美国财政部,1.37,1.42
利率（日）,美国:国债收益率:3月(%),E1003231,daily,美联储,3.7,3.7
利率（日）,美国:国债收益率:3年(%),E1003235,daily,美联储,3.82,3.84
利率（日）,美国:国债收益率:3个月(%),EMG00001303,daily,美国财政部,3.7,3.7
利率（日）,美国:国债收益率:5年(%),E1003236,daily,美联储,3.94,3.97
利率（日）,美国:国债收益率:1月(%),E1003230,daily,美联储,3.72,3.74
利率（日）,美国:国债收益率:1个月(%),EMG00001302,daily,美国财政部,3.72,3.74
利率（日）,美国:国债收益率:6个月(%),EMG00001304,daily,美国财政部,3.72,3.72
利率（日）,美国:国债收益率:二级市场:6个月(%),EMG00001315,daily,美国财政部,3.6,3.59
